Code,Rate
55504107,484
57909615,134
55505137,407
59101554,507
57909292,126
57909256,28
57814687,16
57813163,392
57909247,10
56300343,10
57909555,2155
57909009,1520
57606813,682
56300339,10
57814754,839
57814108,412
57814753,891
59101553,438
57902652A,14
57814514,16
57815032,8830
55505061,440
57813718,1029
57620982,34
57807452,90
55504117,271
57814691,449
55505062,272
57814755,488
55501782,170
57902668,51
57909256A,154
55503482,2913
55504115,287
56300335,10
57814687A,209
56300347,10
55505422,1591
57902607,642
59101555,622
56300336,10
59329755,385
57934530,27
57000316,396
57813713,25
56300354,10
57813728,466
57902605,438
57902631AA,7
57909424,1249
55505414,18897
56300350,10
57902611,4825
57813941,4
57000318,1325
57902652AA,20
55502521,5013
59340507S_S4,7872
56300337,10
57814514A,312
55501777,357
55503799,3520
55504140,2486
57909423,1469
57813925,194
57814935,234
57908546,125
57909292A,553
56300333,10
57902631A,10
55505066,934
56300344,10
57813729,192
56300351,10
57813910,15545
59340769WM_S4,32289
57814696,155
Material price,0.01
57813884,809
